fips,0-17,18-24,25-34,35-44,45-54,55-64,65-74,75-84,85+
28065,5306,3162,2544,3140,3235,3558,3341,1452,621
28067,36523,16801,19183,16755,17557,18810,13458,7965,3162
28069,4462,2806,2675,2554,2725,2788,2435,1203,680
28071,18824,25028,14120,11398,9928,11024,7785,4079,2050
28073,29119,13610,17316,15188,13846,12836,8956,4718,1981
28075,40629,20896,21384,19225,20387,21468,15764,9312,4521
28077,5967,2887,2738,3063,3042,3300,2571,1401,479
28079,12778,5170,5575,5250,5479,5981,4180,2438,1060
28081,42783,18208,21233,20902,21047,19887,15162,8728,3497
28083,16714,8660,8105,7348,6871,7681,5364,3153,1574
28085,18064,8563,8493,9199,9084,9727,7090,4274,1551
28087,28551,15205,16076,14396,14784,15464,10869,6523,2584
28089,48070,21699,25563,24440,25060,24302,16637,8748,3903
28091,12737,6117,6478,6282,6617,6949,5427,3282,1423
28093,17247,9039,8869,8716,10078,10237,7366,4277,1259
28095,16981,7902,8263,8691,8999,9484,7536,4396,1730
28097,5128,2736,2121,2536,2830,3085,2481,1319,726
28099,16037,6492,6959,6973,6650,7449,5775,3326,1497
28101,10937,5688,4839,5638,5109,5276,4339,2742,896
28103,5998,2620,2953,2598,2603,2962,2179,1270,618
28105,17929,28772,12975,8830,8704,9435,6748,4244,1599
28107,18244,8139,8696,8454,8731,8983,6191,3678,1140
28109,25839,13045,12208,12798,13818,15496,12393,6049,2280
28111,5324,2519,2652,2858,2876,3147,2654,1382,567
28113,21309,9882,9495,9122,9409,10322,7647,4563,1729
28115,15964,6500,6968,7690,7934,7416,5192,2901,1484
28117,12416,6646,6336,6577,6511,6658,5275,3351,1284
28119,3658,1812,1600,1830,1841,1958,1393,811,411
28121,68779,28485,39198,37681,35853,34688,24689,13710,4853
28123,15468,6785,7249,7393,6884,7602,5294,2710,1327
28125,2328,1288,1008,1071,1134,1394,913,541,264
28127,14730,6652,7347,7501,7337,8157,6087,3105,1768
28129,8039,3915,3495,3863,4404,4681,3584,2070,820
28131,7695,4691,4054,4576,4516,4732,3225,1818,664
28133,12606,7263,7608,6157,6484,6075,4228,2230,1129
28135,6125,3348,4068,3681,3180,3534,2469,1278,786
28137,13349,6670,6634,6459,6830,7117,5479,2333,1269
28139,10884,5140,4754,5742,5676,5468,4600,2530,821
28141,8955,4344,4184,4814,5366,5470,4656,2678,1064
28143,5897,2680,2556,2553,2101,2311,1633,899,275
28145,13915,5990,6773,6837,6726,6730,5380,3136,1218
28147,8067,3694,3387,4091,3659,4421,3275,2289,777
28149,24425,11445,12078,11452,12312,13732,9418,4906,2488
28151,26757,13204,12772,11066,12468,13524,9403,5362,2392
28153,11337,5310,5870,5464,5672,5792,4664,2780,1137
28155,4348,1891,2082,2222,2602,2484,1869,1181,324
28157,4213,2253,2865,2168,2179,2663,1841,1091,388
28159,9169,4405,4769,4329,4804,5295,4286,2526,916
28161,6036,3029,2580,3137,3208,3715,2848,1681,596
28163,13571,6601,8532,7102,6517,6596,4414,2890,1172
29001,9776,14391,5031,4422,4900,5767,4529,2447,1584
29003,7270,3134,3441,3870,4029,4543,3339,2043,770
29005,1805,901,925,973,1123,1258,1205,716,372
29007,12018,5521,6090,5924,6291,6702,4905,2837,1476
29009,16320,7674,7349,7761,9454,10538,8657,4703,2024
29011,5648,2444,2339,2594,2918,3134,2459,1477,737
29013,6935,2865,3282,3165,3780,4024,3107,1980,820
29015,6673,3175,2934,3594,4516,6056,5620,3151,1009
29017,5473,2557,2402,2678,3177,3466,2596,1404,533
29019,67745,68020,46480,35476,34593,35489,23220,12900,5579
29021,40675,21706,23858,20720,21483,21855,15688,9165,4543
29023,20771,9773,10401,9867,11231,12413,9042,5793,2108
29025,3832,1487,1617,1734,2077,2147,1623,1008,370
29027,20226,11634,11377,10481,12284,11966,8553,4516,2009
29029,16339,8174,8305,8094,11042,14284,13033,5672,2279
29031,33326,24025,18678,16834,17868,19227,14093,8545,4127
29033,3825,1769,1655,1955,2050,2263,1947,1172,524
29035,2839,1272,1329,1395,1553,1767,1311,808,320
29037,45978,18768,20535,23013,24125,23814,17107,9816,4344
29039,7093,3030,2868,3118,3387,4073,3898,2275,981
29041,3043,1318,1305,1362,1592,1893,1508,980,641
29043,36767,13789,17842,19141,17857,17937,13269,6955,2837
29045,2719,1186,1236,1291,1563,1734,1347,844,326
29047,109613,47964,61726,58699,57834,55137,38741,20429,9557
29049,9261,3762,4156,4557,5075,5023,3847,2259,1015
29051,34165,16943,19284,18390,18651,19513,13350,7694,3159
29053,6603,3556,3977,3262,3635,3847,2838,1683,948
29055,11657,5072,5724,5591,6364,6686,5263,2870,1327
29057,2852,1462,1213,1478,1803,2119,1662,994,473
29059,8348,3567,3614,3779,4484,5068,4116,2431,856
29061,3512,1335,1350,1581,1583,1797,1536,828,326
29063,4076,2290,3269,3217,3092,2597,1960,1117,761
29065,6635,2832,3212,3068,3838,4210,3397,1754,996
29067,6195,2583,2787,2819,3306,4373,3401,1953,873
29069,15844,7142,6729,6956,7723,8032,6166,4135,1512
29071,45882,20373,23634,22015,27552,26889,19187,10896,4491
29073,5735,2651,2551,2730,3517,4073,3097,1813,983
29075,2756,1171,1318,1139,1401,1569,1089,933,350
29077,114284,81344,71966,60560,62343,64389,48638,29044,14052
29079,4501,2395,2260,1771,2234,2558,2159,1321,824
29081,3919,1617,1751,1675,1826,2181,1775,1189,539
29083,9418,4054,4617,4788,5406,5800,4910,2953,1144
29085,3347,1530,1411,1617,2220,2829,3237,1680,617
29087,1484,751,733,806,1021,1091,838,566,290
29089,4083,2726,2025,1793,2241,2643,1870,1040,522
29091,18940,8245,9171,8460,9733,10289,8432,4795,2375
29093,3786,1790,1799,2055,2348,2706,2052,1057,476
29095,325517,153406,192222,162296,169261,171375,116099,67021,31225
29097,58948,28115,31308,28782,28271,29249,20866,12266,4912
29099,99639,43665,52400,52334,58274,56443,38104,19516,7043
29101,21795,20974,13470,10150,10994,10672,7780,4755,1593
29103,1677,748,633,714,905,924,809,385,298
29105,17327,7445,8776,8329,9319,9390,7444,4291,1612
29107,15174,6775,7324,7337,9188,8932,6756,4436,1739
29109,18938,7749,8299,9183,9378,10277,7849,5025,1773
29111,4138,2694,2091,1840,2197,2424,1992,1227,534
29113,24880,10210,12140,11730,13325,12559,8291,3910,1888
29115,5474,2681,2300,2543,2847,3292,2708,1700,814
29117,5676,2752,3097,3196,3060,3291,2766,1658,1079
29119,10697,4476,5020,5402,5664,5768,4148,1961,927
